mrishare_id,SPM_GM_hemiR_SNR,SPM_GM_hemiL_SNR,SPM_WM_hemiR_SNR,SPM_WM_hemiL_SNR,SPM_CSF_hemiR_SNR,SPM_CSF_hemiL_SNR,SPM_hemiR_WMGM_CNR,SPM_hemiR_GMCSF_CNR,SPM_hemiL_WMGM_CNR,SPM_hemiL_GMCSF_CNR
SHARE0195,8.287641031253393,8.256985836020531,23.208288353081674,22.502352580627733,4.728973865113292,4.537672889222528,1.3411649887833252,1.3951831186371713,1.3481463880696225,1.4003171717715417
SHARE0208,8.357507035654107,8.28065391381487,21.574693576598158,20.95306086702923,4.400215376892663,4.375316978779698,1.3519068746618028,1.4511139825618393,1.3549605981479784,1.4442873370626506
SHARE0217,8.92115958394902,8.929321686134525,22.170975325428405,21.404134397841986,4.548703888186086,4.237463881028392,1.3409501409538267,1.4432270099551183,1.3446583802617764,1.4736525257746669
SHARE0218,9.409106751063533,9.343170200503188,20.961479843539838,20.05705424859705,4.2977501140018415,4.343294859929972,1.3318800420052208,1.4508541728293893,1.3332448934957282,1.4503837594710018
SHARE0310,8.174316979571122,8.074237950663576,23.306443574685808,22.632853252115112,4.146633789740515,3.832675310152195,1.3520146301550957,1.5203455956623966,1.3595993675633486,1.5501646966472498
SHARE0336,9.576126795168447,9.502628751271498,18.259245599669768,18.159641273700302,4.517890854809677,4.4082013322416165,1.3522465109586228,1.4231585402124152,1.3537226775785065,1.4235961065545433
SHARE0337,7.499669527553638,7.452420864383647,20.16124548426685,19.7033792600098,3.610195154736064,3.356914333885362,1.3934165689882765,1.5399064229911283,1.4010505593912173,1.5988435187486445
SHARE0357,8.61305444100529,8.343229410317454,22.094512749208242,21.45596747636359,4.625047147274379,4.6628530275845135,1.326996116073154,1.4211346780004528,1.3376300269260497,1.4150066539988762
SHARE0362,7.957807075547818,7.837827830067543,21.801941836441436,21.036077407851106,4.129806810901127,3.985366710098689,1.3723538324246478,1.5011938494936412,1.3772089443727538,1.5073202563401726
SHARE0368,8.27168486465143,8.200465771305826,22.986610191878828,22.360456968728265,4.841997793840006,4.809826265645432,1.3553459073873733,1.4157960977225168,1.3589917015581336,1.418665725353574
SHARE0398,7.8583367607600225,7.667993413390608,23.85569073924261,22.901865814420294,3.752714653170081,3.716373207575404,1.347884539794122,1.531834343333209,1.3570653707099771,1.5228341933196268
SHARE0402,9.010153537161946,8.959828655559964,21.29430930117068,20.814263805823995,4.314494852195918,4.214058096568064,1.3401985555673852,1.4796274092511492,1.3458693253985932,1.4857059198825746
SHARE0403,8.822377709726615,8.796153879259458,20.77890212798119,20.488084250225835,4.342429631594495,4.271176435655325,1.3549404939411442,1.4577611022229529,1.3608637037525455,1.4563906939994815
